net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector;net.AccessPoint.application.delay:vector
0.344229;0.835214;0.73021;0.593211;0.800219;0.630229;0.790217;0.815219;0.584222;0.883233;0.729223;0.998222;0.964216;1.09023;0.899231;0.891222;1.10123;1.48522;0.892219;1.18623;1.34422;1.1342;0.989222;1.25922;1.02423;1.35921;1.56422;1.68922;1.56223;1.53222;1.49523;1.33323;1.26022;1.9942;1.36921;1.71322;2.31523;1.81222;2.33222;1.77421
0.394205;0.879217;0.771223;0.680215;0.84023;0.670229;0.830229;0.898228;0.665222;0.926222;0.894209;1.0782;1.00423;1.13023;0.981233;1.01321;1.14122;1.52821;0.933217;1.26721;1.42522;1.17422;1.03022;1.50322;1.14624;1.39923;1.68722;1.80923;1.60222;1.81323;1.53521;1.61322;1.34023;2.35922;1.44922;1.75323;2.47923;1.89223;2.45223;1.81421
0.43921;0.924229;0.811226;0.721223;0.880225;0.710214;0.870239;0.97822;0.706211;0.970229;0.937227;1.12123;1.08522;1.17021;1.02122;1.17624;1.18122;1.56822;1.13323;1.30722;1.46522;1.21421;1.15123;1.54322;1.22721;1.44022;1.72723;1.88922;1.64324;1.93321;1.61523;1.73323;1.58324;2.56422;1.48922;1.79323;2.51922;2.01523;2.49223;1.97522
0.495224;1.01523;0.851209;0.768229;0.971229;0.793223;0.912229;1.01821;0.750232;1.09222;0.977222;1.24723;1.12521;1.21022;1.06322;1.21622;1.22122;1.69124;1.17322;1.34723;1.50522;1.25424;1.19122;1.86523;1.54823;1.48022;1.80722;2.00923;1.72422;2.05523;1.65523;1.85323;1.7032;2.72622;1.73022;1.95321;2.76023;2.13522;2.57321;2.09521
0.553236;1.06823;0.894227;0.817209;1.01223;0.838212;0.959224;1.06521;0.790236;1.13421;1.01723;1.28723;1.16522;1.25022;1.10322;1.29721;1.34122;1.85221;1.21323;1.42922;1.54523;1.4562;1.31322;1.90523;1.70921;1.52122;1.88823;2.04922;1.76422;2.09522;1.81523;1.89323;1.74321;2.76622;1.77121;2.31421;2.92021;2.29521;2.81323;2.17521
0.594211;1.16021;0.937227;0.861217;1.05222;0.969225;1.05322;1.10523;0.831205;1.17821;1.05722;1.32823;1.20524;1.29223;1.22721;1.3372;1.38124;1.89223;1.25423;1.46924;1.62722;1.49723;1.35322;1.98621;1.74922;1.5622;1.92922;2.24923;1.84422;2.13522;1.93523;2.01421;1.86322;2.84623;1.93121;2.51822;3.08123;2.33522;2.89421;2.29521
0.650217;1.23722;0.978232;0.903222;1.13521;1.01423;1.09522;1.14522;0.871229;1.21821;1.09821;1.41722;1.24521;1.33223;1.26721;1.37923;1.42122;1.93222;1.29423;1.55022;1.70723;1.61822;1.39423;2.0682;1.87323;1.60224;1.96923;2.45023;1.96423;2.29521;1.97522;2.17722;2.02323;2.88623;2.05322;2.83822;3.12122;2.45524;2.97723;2.49623
0.700211;1.36523;1.01922;1.00423;1.17723;1.05423;1.13522;1.19222;0.915237;1.25922;1.22023;1.45721;1.28921;1.37422;1.30724;1.41922;1.5022;1.97422;1.33421;1.63123;1.74723;1.77923;1.51521;2.10823;1.95321;1.68223;2.13024;2.61222;2.20623;2.33523;2.09623;2.25723;2.10423;2.92623;2.25622;2.96023;3.24122;2.49522;3.01724;2.61621
0.794225;0.326205;1.06923;1.04823;1.2222;1.09624;1.17723;1.23221;0.960214;1.30122;1.26124;1.49822;1.33123;1.41422;1.34722;1.54022;1.54321;2.01523;1.45623;1.67123;1.82823;1.81921;1.59621;2.14823;1.99523;1.84223;2.21123;2.65222;2.24622;2.37523;2.13622;2.29722;2.18423;2.96723;2.29622;3.00024;3.48121;3.01722;3.09721;2.81623
0.915227;0.392229;1.11823;1.08822;1.26223;1.13622;1.21922;1.27523;1.00323;1.34123;1.42822;1.53823;1.37321;1.45423;1.55122;1.58022;1.66422;2.05623;1.49622;1.71223;1.86821;1.90122;1.79722;2.22822;2.23722;1.92523;2.25124;2.85222;2.40721;2.41521;2.21722;2.33723;2.42524;3.00721;2.41723;3.08124;3.5622;3.05723;3.13722;3.01623
0.099217;0.440233;1.16623;1.13122;1.35322;1.17622;1.25922;1.31723;1.04423;1.38122;1.47124;1.57822;1.41323;1.57523;1.63123;1.62021;1.70623;2.09721;1.58022;1.75222;1.94923;1.98421;1.91921;2.39222;2.27823;1.96523;2.29123;2.89323;2.44922;2.45722;2.29823;2.62022;2.54522;3.04724;2.45723;3.12321;3.60222;3.13721;3.29822;3.17924
0.146211;0.488212;1.23322;1.17523;1.40222;1.21821;1.29922;1.35723;1.08623;1.42523;1.51123;1.62023;1.45322;1.61923;1.71121;1.66023;1.74722;2.13723;1.6202;1.79223;2.0312;2.02522;1.95921;2.43223;2.31821;2.0052;2.37124;2.97423;2.48922;2.53822;2.38021;2.66123;2.58522;3.08722;2.66022;3.24522;3.64223;3.17724;3.41923;3.30122
0.189229;0.53421;1.2812;1.23921;1.44723;1.30321;1.33921;1.40121;1.12822;1.50623;1.55122;1.66123;1.49324;1.65922;1.83521;1.70022;1.78822;2.21823;1.70123;1.83324;2.11224;2.14622;2.08022;2.51223;2.35922;2.08721;2.41122;3.13522;2.57022;2.61823;2.54323;2.74123;2.74622;3.28823;2.70021;3.36622;3.68223;3.21822;3.45923;3.38322
0.270205;0.622237;1.34222;1.28421;1.49123;1.34321;1.38321;1.44221;1.16823;1.54622;1.59322;1.70121;1.53622;1.73921;1.87722;1.74223;1.83022;2.25822;1.74223;1.87622;2.19523;2.22722;2.20322;2.63423;2.52322;2.12723;2.65122;3.21522;2.61122;2.70222;2.70323;2.78123;2.78722;3.32923;2.74023;3.40623;3.88922;3.37823;3.53923;3.50423
0.316211;0.664205;1.39321;1.35823;1.53322;1.43422;1.47222;1.48221;1.24922;1.58622;1.64022;1.78222;1.65923;1.77922;1.91721;1.82222;2.03323;2.30522;1.78222;1.91721;2.23621;2.26721;2.24322;2.71621;2.56323;2.28721;2.77123;3.41621;2.65121;2.74224;2.86622;2.90122;2.86722;3.36923;2.78022;3.61023;3.92922;3.41822;3.58024;3.58421
0.419236;0.706229;1.56422;1.42223;1.58022;1.47523;1.56523;1.57521;1.29422;1.62624;1.68022;1.82221;1.69922;1.81922;1.95721;1.86422;2.11321;2.34623;1.82223;1.99822;2.27623;2.34721;2.28322;2.83823;2.60321;2.36723;2.81124;3.45621;2.73322;2.82222;2.90723;2.94121;2.90921;3.40921;2.82022;3.69221;4.01023;3.45823;3.62124;3.62422
0.533225;0.757214;0.353227;1.46624;1.63723;1.51623;1.61623;1.61523;1.33521;1.66723;1.72823;1.86321;1.73922;1.85923;1.99823;1.90421;2.19422;2.43021;1.86724;2.07822;2.31722;2.42823;2.32323;2.92021;2.68323;2.40723;2.93421;3.49623;2.77322;2.86321;2.94723;2.98321;2.94923;3.52922;2.90022;3.73223;4.05022;3.49823;3.70323;3.74524
0.580224;0.798227;0.402226;1.53222;1.67723;1.55723;1.66423;1.65521;1.37623;1.79023;1.76822;1.98522;1.77923;1.8992;2.03822;1.94422;2.31522;2.47223;1.95022;2.15823;2.35723;2.58923;2.36423;3.00122;2.72523;2.44821;3.01621;3.57823;2.85322;2.98522;3.11021;3.02321;3.06923;3.57022;3.18122;3.77223;4.17221;3.53921;3.74323;3.82523
0.636227;0.841226;0.449221;1.63723;1.72121;1.59822;1.71422;1.69521;1.41721;1.91521;1.80822;2.03022;1.8192;1.97923;2.20222;1.98422;2.35522;2.55522;1.99021;2.19822;2.39723;2.63222;2.52823;3.04122;2.76622;2.48823;3.05621;3.74221;2.97423;3.06522;3.19123;3.0682;3.10923;3.69223;3.22124;3.81323;4.29224;3.81923;3.78323;3.86522
0.82521;0.884221;0.533224;1.77823;1.79124;1.64021;1.75423;1.77922;1.45721;2.01023;1.84822;2.07021;1.85923;2.05922;2.24321;2.02421;2.39522;2.59523;2.03222;2.23821;2.43923;2.71521;2.56923;3.08222;2.80622;2.57023;3.09823;3.78323;3.09522;3.22723;3.27123;3.18822;3.14923;3.73223;3.38223;3.89322;4.33223;3.85922;3.82323;3.90522
0.340211;0.993224;0.594209;1.83323;1.83423;1.68521;1.80124;1.82222;1.54022;2.05023;1.88822;2.11123;1.89924;2.09922;2.28723;2.10421;2.43523;2.64023;2.07222;2.27824;2.56024;2.75621;2.61021;3.24522;2.88623;2.61023;3.17921;3.82322;3.17521;3.26721;3.51421;3.22823;3.23022;3.85222;3.42222;3.93323;4.41224;3.94023;3.90422;3.98621
0.410211;1.03523;0.634232;1.87823;1.87623;1.72522;1.84723;1.90822;1.58523;2.09022;1.93122;2.15321;1.93923;2.13921;2.41722;2.14422;2.47521;2.68022;2.11321;2.35922;2.68222;2.79824;2.69223;3.28723;2.97323;2.69123;3.26023;3.90323;3.30122;3.30822;3.59421;3.26822;3.35121;3.93322;3.46323;3.97321;4.45222;4.02022;3.94424;4.06722
0.457229;1.12923;0.677209;1.98323;1.91922;1.77023;1.89123;1.99223;1.6662;2.13523;1.97122;2.20123;2.02122;2.22723;2.45823;2.18523;2.59521;2.72022;2.15322;2.48122;2.76223;2.83822;2.81224;3.32722;3.01321;2.73122;3.38123;3.94323;3.34123;3.38923;3.63623;3.30822;3.47222;4.01622;3.54423;4.01322;4.49823;4.10123;3.98423;4.10721
0.501236;1.17222;0.722216;0.316211;1.96121;1.81423;1.93221;2.03922;1.70721;2.17522;2.01422;2.24223;2.06221;2.34822;2.50123;2.22622;2.64123;2.76124;2.19422;2.52222;2.84521;2.91922;2.89322;3.41022;3.05422;2.93524;3.42322;3.98321;3.50522;3.42923;3.6762;3.42821;3.51222;4.22221;3.58522;4.09323;4.53922;4.14422;4.02423;4.26922
0.548225;1.26922;0.777209;0.368239;2.04821;1.86221;2.03021;2.08422;1.74822;2.21522;2.09923;2.28322;2.10222;2.39522;2.54123;2.26722;2.68121;2.80323;2.23523;2.56223;2.88523;2.95924;2.93622;3.45122;3.09723;3.01722;3.46321;4.02623;3.54521;3.46923;3.72123;3.46822;3.59222;4.26522;3.62623;4.21422;4.74422;4.30523;4.18622;4.31022
0.595227;1.34222;0.819205;0.410231;2.09822;1.90221;2.07123;2.12623;1.83421;2.25922;2.1392;2.32322;2.14323;2.44022;2.58422;2.38824;2.76121;2.84323;2.27623;2.60323;2.92522;2.99922;3.01822;3.53621;3.13722;3.05723;3.50422;4.06723;3.62722;3.55023;3.76322;3.55023;3.63222;4.30522;3.70623;4.25422;4.78422;4.46623;4.34822;4.43122
0.639224;0.380225;0.866221;0.451227;2.15123;1.94522;2.12423;2.23323;1.87622;2.34323;2.17923;2.36521;2.39221;2.48022;2.66822;2.42822;2.80222;2.88321;2.43724;2.68423;2.96622;3.03921;3.22122;3.57622;3.17722;3.13723;3.58723;4.10723;3.66723;3.75521;3.80422;3.59023;3.75223;4.38624;3.82823;4.29423;4.82422;4.50622;4.42822;4.47322
0.71621;0.429205;0.906231;0.494223;2.21421;1.98922;2.17323;2.27522;1.91723;2.39024;2.22523;2.40623;2.43221;2.52122;2.71121;2.51023;2.84222;2.92523;2.47721;2.72422;3.04722;3.12122;3.26322;3.61623;3.21721;3.46323;3.62721;4.14723;3.86823;3.83522;3.85023;3.63221;3.79322;4.46622;3.86821;4.33523;4.86423;4.62622;4.46922;4.59424
0.843217;0.476221;0.951225;0.579215;2.35022;2.02922;2.22021;2.32321;1.95723;2.43123;2.26823;2.44823;2.47422;2.56223;2.75623;2.5522;2.92721;3.00722;2.51721;2.80522;3.12822;3.20223;3.30323;3.69721;3.26323;3.50623;3.66723;4.18822;3.95522;3.92022;3.89021;3.71422;3.83323;4.50623;3.90821;4.41622;4.90521;4.66622;4.55123;4.63522
0.927205;0.522224;0.99421;0.623209;2.56923;2.09524;2.26023;2.36421;1.99924;2.52021;2.30823;2.53521;2.55922;2.60323;2.79623;2.59222;2.96923;3.04822;2.55722;2.88823;3.16823;3.24222;3.42421;3.90822;3.30423;3.63123;3.70722;4.22822;4.03723;3.96323;4.05122;3.75423;3.95323;4.66822;3.99021;4.53822;4.94623;4.70722;4.59123;4.71822
0.175227;0.567229;1.03723;0.673231;0.164227;2.15322;2.30222;2.40522;2.04221;2.56621;2.38922;2.57723;2.60023;2.65022;2.83823;2.63222;3.09422;3.08821;2.59722;3.01522;3.20922;3.28222;3.46422;3.95121;3.34423;3.67223;4.03523;4.26823;4.07823;4.0032;4.09121;3.87523;4.07724;4.71023;4.11022;4.57823;4.98623;4.78723;4.67423;4.75822
0.223236;0.610227;1.09923;0.715227;0.217219;2.19323;2.34323;2.44822;2.08622;2.60922;2.47922;2.62623;2.64022;2.69721;2.87922;2.71322;3.13623;3.12823;2.63922;3.0552;3.24922;3.32423;3.54822;3.99622;3.38423;3.71222;4.11721;4.30823;4.11822;4.12522;4.17322;3.91523;4.15723;4.83123;4.19022;4.61923;5.23222;4.82722;4.75524;4.84022
0.265205;0.652221;1.17423;0.756229;0.257224;2.23323;2.4112;2.48922;2.12823;2.65122;2.52022;2.66722;2.68023;2.73722;2.92022;2.75523;3.17622;3.16821;2.72023;3.09822;3.29321;3.36522;3.63022;4.07823;3.42423;3.79323;4.15824;4.34821;4.16023;4.20523;4.21322;3.99522;4.19821;4.87123;4.23023;4.69923;5.27322;5.07121;4.79522;4.88023
0.320211;0.711229;1.21823;0.798229;0.300219;2.28122;2.45122;2.53123;2.17022;2.74623;2.56022;2.71523;2.72021;2.82022;2.96423;2.83723;3.21723;3.20923;2.76422;3.13822;3.33323;3.40923;3.71522;4.11821;3.46422;3.83521;4.19922;4.43122;4.24223;4.24523;4.29322;4.03622;4.23822;4.91124;4.31123;4.74122;5.31423;5.15422;4.83623;4.92023
0.367229;0.757216;1.26223;0.839229;0.343223;2.3562;2.49122;2.58922;2.25622;2.81122;2.60024;2.76521;2.76423;2.86123;3.04823;2.87923;3.33923;3.33024;2.80422;3.18323;3.37322;3.49221;3.75522;4.15823;3.66723;3.87521;4.28223;4.51723;4.28222;4.28622;4.33323;4.07622;4.27821;4.95123;4.39121;4.90322;5.47622;5.19722;4.87722;4.96124
0.41721;0.808229;1.32623;0.884223;0.38323;2.40322;2.57923;2.63121;2.34222;2.86023;2.68322;2.85223;2.80523;2.90223;3.09222;2.92322;3.38023;3.41123;2.84421;3.22722;3.41422;3.53422;3.79722;4.19822;3.70921;3.95822;4.36222;4.59721;4.32424;4.32622;4.37421;4.11623;4.31921;4.99123;4.43121;5.06323;5.51823;5.23722;5.07924;5.00322
0.498211;0.880229;1.36622;0.970229;0.522218;2.46422;2.62724;2.68223;2.3842;2.90523;2.72523;2.90623;2.84824;2.94224;3.18122;2.96322;3.42221;3.45221;2.92722;3.31324;3.45422;3.57523;3.83723;4.27823;3.75121;3.99822;4.40322;4.63823;4.36822;4.41122;4.4562;4.15621;4.36022;5.03122;4.4722;5.22622;5.60021;5.36123;5.12021;5.08623
0.635224;0.953233;1.40923;1.01023;0.564209;2.54122;2.67521;2.72823;2.42421;2.99523;2.77523;2.94623;2.89023;3.02922;3.22423;3.00621;3.50523;3.53423;2.96722;3.39522;3.49622;3.61522;3.87823;4.31823;3.79123;4.07821;4.44422;4.67921;4.44923;4.45122;4.49624;4.19622;4.56123;5.07123;4.51323;5.26721;5.68222;5.40922;5.24122;5.16722
0.707225;1.04922;1.50722;1.05521;0.604211;2.63622;2.73023;2.76822;2.46423;3.04222;2.81822;2.98922;2.94021;3.07622;3.30923;3.09723;3.58624;3.57522;3.04721;3.44323;3.53823;3.65523;3.91821;4.44123;3.83222;4.12222;4.48423;4.75922;4.48921;4.53621;4.53622;4.23722;4.64223;5.23523;4.55423;5.35223;5.72223;5.45122;5.28123;5.24823
0.913217;1.09621;1.60722;1.10521;0.648221;2.70822;2.79222;2.81123;2.52022;3.11921;2.8672;3.02922;2.98022;3.11623;3.35422;3.14022;3.62821;3.62023;3.08721;3.48423;3.65923;3.69822;3.99922;4.48123;3.91323;4.16223;4.53322;4.83924;4.57022;4.57723;4.57622;4.31821;4.72221;5.32021;4.63622;5.39222;5.76723;5.53121;5.36122;5.37223
0.205217;1.1442;1.66523;1.14522;0.696212;0.374229;2.84622;2.85123;2.56322;3.23022;2.91024;3.07821;3.02023;3.15623;3.39422;3.18423;3.66922;3.66023;3.12823;3.52521;3.74123;3.73823;4.04021;4.52423;3.95522;4.20423;4.57323;4.88021;4.69424;4.61722;4.62022;4.39822;4.76223;5.44222;4.71821;5.43221;5.80822;5.61123;5.40124;5.45321
0.262205;1.20721;1.75422;1.19621;0.737212;0.416223;2.88623;2.92122;2.60922;3.27222;2.95022;3.11822;3.06021;3.20123;3.47722;3.22523;3.79323;3.70122;3.16823;3.57021;3.78123;3.77824;4.12123;4.56523;3.99623;4.24422;4.61421;4.96321;4.73623;4.66122;4.74122;4.4802;4.84223;5.48323;4.75822;5.51524;5.84822;5.77822;5.48121;5.53622
0.304211;1.29422;1.81822;1.27623;0.784219;0.50023;2.9592;2.96822;2.65123;3.32723;2.99122;3.16022;3.10223;3.24323;3.52123;3.26622;3.83321;3.74623;3.20823;3.61522;3.86322;3.89823;4.16123;4.60523;4.03922;4.28421;4.65423;5.08623;4.77623;4.70123;4.82122;4.52021;5.02023;5.60622;4.79823;5.55523;5.88822;5.82022;5.52122;5.57621
0.379225;1.33523;2.06023;1.36924;0.834236;0.542226;3.04722;3.01023;2.70722;3.37322;3.03421;3.20623;3.14422;3.29422;3.56523;3.30723;3.91424;3.78921;3.25021;3.69522;3.98624;3.97923;4.20722;4.64522;4.08021;4.41621;4.69422;5.12623;4.81722;4.78322;4.86322;4.56023;5.10323;5.64622;4.83823;5.60123;5.93123;5.86321;5.60723;5.70023
0.419227;1.39024;0.153209;1.41221;0.877214;0.584236;0.223231;3.06022;2.75323;3.42523;3.08821;3.26523;3.18821;3.33523;3.64822;3.35222;3.95924;3.87322;3.29123;3.77923;4.07623;4.06022;4.28721;4.68722;4.12222;4.46122;4.73622;5.16823;4.89724;4.82521;4.94622;4.60022;5.14522;5.68723;4.87823;5.64223;5.97324;5.90424;5.68922;5.78223
0.479224;1.50621;0.20823;1.47123;0.918203;0.626228;0.263238;3.11222;2.79522;3.46921;3.12921;3.31621;3.22923;3.37722;3.69124;3.39821;3.99921;3.96123;3.33221;3.82321;4.11622;4.10023;4.32721;4.73022;4.20223;4.50122;4.81822;5.20823;4.93723;4.86723;4.98821;4.64021;5.18722;5.73023;4.91822;5.72423;6.01523;5.98423;5.77223;5.82223
0.54521;0.239224;0.255229;1.52923;0.959233;0.801223;0.305229;3.16223;2.83621;3.51524;3.17522;3.39923;3.27622;3.41721;3.73122;3.43822;4.08022;4.04423;3.37323;3.86422;4.15723;4.19024;4.41721;4.77022;4.24223;4.62522;4.90122;5.24821;4.97723;4.90724;5.03021;4.68122;5.23123;5.77223;4.95823;5.76522;6.09921;6.02421;5.81222;5.8632
0.604229;0.285237;0.296221;1.56922;1.06523;0.851223;0.351224;3.22823;2.88722;3.61522;3.21922;3.44223;3.31922;3.45924;3.77121;3.48222;4.12222;4.08623;3.41623;3.90623;4.19723;4.23623;4.46223;4.81821;4.28322;4.70522;4.94122;5.28921;5.05922;5.02922;5.07123;4.72122;5.27323;5.81322;4.99821;5.80522;6.14722;6.06522;5.85221;5.94522
0.687236;0.381221;0.33623;1.63622;1.10621;0.891223;0.391219;3.26921;2.94022;3.67422;3.25921;3.49423;3.44722;3.58123;3.82223;3.52223;4.22323;4.12624;3.45723;3.94822;4.27923;4.27723;4.54823;4.85923;4.32523;4.74923;5.0272;5.32923;5.10021;5.07022;5.11222;4.76122;5.31323;5.85523;5.03822;5.84721;6.27122;6.14523;5.89322;5.98822
0.770211;0.425217;0.379232;1.69023;1.14922;0.93321;0.433212;3.32721;3.00423;3.71623;3.29923;3.53421;3.50921;3.62423;3.86221;3.56323;4.2702;4.16621;3.49823;4.03123;4.32223;4.32122;4.63722;4.89922;4.36723;4.78922;5.06723;5.37123;5.14122;5.11124;5.15224;4.80123;5.35523;5.93623;5.07921;5.88823;6.31522;6.18522;5.93323;6.02822
0.247236;0.478223;0.424225;1.74623;1.19621;0.973214;0.488205;3.37023;3.04522;3.75622;3.36222;3.57623;3.55721;3.66424;3.90922;3.60324;4.31624;4.21123;3.53821;4.07123;4.40521;4.36422;4.67923;4.94424;4.4082;4.83422;5.14824;5.41123;5.18524;5.15723;5.19323;4.84423;5.39623;6.01824;5.15921;5.92821;6.35523;6.22621;5.97422;6.07321
0.293211;0.521226;0.565228;1.84822;1.23721;1.01621;0.569223;3.63122;3.09823;3.95523;3.40223;3.6212;3.60423;3.70523;3.96123;3.64723;4.36923;4.25423;3.61921;4.11423;4.44621;4.40422;4.71921;4.98823;4.44821;4.87422;5.19022;5.45123;5.22722;5.19821;5.24022;4.96923;5.43921;6.10123;5.19922;5.97123;6.39522;6.26624;6.01423;6.11523
0.341217;0.574205;0.606227;1.88823;1.27922;1.0582;0.653235;0.206226;3.15922;3.99523;3.45621;3.71923;3.68423;3.75421;4.00621;3.68823;4.41523;4.29622;3.66122;4.16122;4.49222;4.49322;4.76622;5.06923;4.52821;4.95422;5.23022;5.49121;5.26721;5.23822;5.28323;5.01023;5.48322;6.14222;5.31921;6.01121;6.44721;6.30623;6.05622;6.27924
